"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"147","2020-08-11",10,8.71428571428571,0,1.71428571428571,0,0,0,0.142857142857143
"148","2020-08-12",6,9.14285714285714,1,1.42857142857143,0,0,0,0.142857142857143
"149","2020-08-13",7,8.85714285714286,1,1.57142857142857,0,0,1,0.285714285714286
"150","2020-08-14",6,8.57142857142857,1,1,0,0,0,0.285714285714286
"151","2020-08-15",11,8.57142857142857,0,0.714285714285714,0,0,1,0.285714285714286
"152","2020-08-16",4,7.85714285714286,0,0.714285714285714,0,0,0,0.285714285714286
"153","2020-08-17",12,8,0,0.428571428571429,0,0,0,0.285714285714286
"154","2020-08-18",7,7.57142857142857,2,0.714285714285714,0,0,0,0.285714285714286
"155","2020-08-19",3,7.14285714285714,0,0.571428571428571,1,0.142857142857143,0,0.285714285714286
"156","2020-08-20",8,7.28571428571429,0,0.428571428571429,0,0.142857142857143,0,0.142857142857143
"157","2020-08-21",7,7.42857142857143,0,0.285714285714286,0,0.142857142857143,0,0.142857142857143
"158","2020-08-22",7,6.85714285714286,1,0.428571428571429,1,0.285714285714286,0,0
"159","2020-08-23",15,8.42857142857143,0,0.428571428571429,1,0.428571428571429,0,0
"160","2020-08-24",5,7.42857142857143,1,0.571428571428571,0,0.428571428571429,0,0
"161","2020-08-25",11,8,0,0.285714285714286,0,0.428571428571429,1,0.142857142857143
"162","2020-08-26",11,9.14285714285714,0,0.285714285714286,0,0.285714285714286,0,0.142857142857143
"163","2020-08-27",9,9.28571428571429,0,0.285714285714286,0,0.285714285714286,0,0.142857142857143
"164","2020-08-28",9,9.57142857142857,0,0.285714285714286,1,0.428571428571429,1,0.285714285714286
"165","2020-08-29",5,9.28571428571429,0,0.142857142857143,0,0.285714285714286,0,0.285714285714286
"166","2020-08-30",6,8,0,0.142857142857143,0,0.142857142857143,0,0.285714285714286
