"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"130","2020-07-13",497,599,11,10.7142857142857,6,9.28571428571429,0,2.28571428571429
"131","2020-07-14",372,570.428571428571,21,13.4285714285714,3,9.42857142857143,2,1.85714285714286
"132","2020-07-15",506,556.142857142857,18,14.1428571428571,5,9.14285714285714,9,2.57142857142857
"133","2020-07-16",597,553.285714285714,18,14.4285714285714,11,9.85714285714286,16,4.42857142857143
"134","2020-07-17",635,575.428571428571,16,15.2857142857143,17,9.71428571428571,19,6.57142857142857
"135","2020-07-18",796,574,10,15.7142857142857,21,11.7142857142857,0,6.57142857142857
"136","2020-07-19",672,582.142857142857,31,17.8571428571429,23,12.2857142857143,0,6.57142857142857
"137","2020-07-20",535,587.571428571429,15,18.4285714285714,7,12.4285714285714,0,6.57142857142857
"138","2020-07-21",399,591.428571428571,22,18.5714285714286,22,15.1428571428571,2,6.57142857142857
"139","2020-07-22",519,593.285714285714,22,19.1428571428571,10,15.8571428571429,9,6.57142857142857
"140","2020-07-23",702,608.285714285714,43,22.7142857142857,16,16.5714285714286,8,5.42857142857143
"141","2020-07-24",688,615.857142857143,45,26.8571428571429,20,17,15,4.85714285714286
"142","2020-07-25",710,603.571428571429,30,29.7142857142857,27,17.8571428571429,0,4.85714285714286
"143","2020-07-26",721,610.571428571429,22,28.4285714285714,4,15.1428571428571,0,4.85714285714286
"144","2020-07-27",616,622.142857142857,45,32.7142857142857,3,14.5714285714286,0,4.85714285714286
"145","2020-07-28",547,643.285714285714,21,32.5714285714286,4,12,9,5.85714285714286
"146","2020-07-29",700,669.142857142857,32,34,22,13.7142857142857,9,5.85714285714286
"147","2020-07-30",812,684.857142857143,9,29.1428571428571,17,13.8571428571429,8,5.85714285714286
"148","2020-07-31",814,702.857142857143,26,26.4285714285714,30,15.2857142857143,10,5.14285714285714
"149","2020-08-01",722,704.571428571429,21,25.1428571428571,18,14,0,5.14285714285714
"150","2020-08-02",676,698.142857142857,37,27.2857142857143,31,17.8571428571429,0,5.14285714285714
"151","2020-08-03",856,732.428571428571,24,24.2857142857143,18,20,0,5.14285714285714
"152","2020-08-04",617,742.428571428571,22,24.4285714285714,23,22.7142857142857,8,5
"153","2020-08-05",804,757.285714285714,14,21.8571428571429,64,28.7142857142857,10,5.14285714285714
"154","2020-08-06",826,759.285714285714,15,22.7142857142857,66,35.7142857142857,43,10.1428571428571
"155","2020-08-07",796,756.714285714286,17,21.4285714285714,43,37.5714285714286,15,10.8571428571429
"156","2020-08-08",679,750.571428571429,19,21.1428571428571,60,43.5714285714286,0,10.8571428571429
"157","2020-08-09",988,795.142857142857,26,19.5714285714286,48,46,0,10.8571428571429
"158","2020-08-10",699,772.714285714286,12,17.8571428571429,29,47.5714285714286,0,10.8571428571429
"159","2020-08-11",1035,832.428571428571,13,16.5714285714286,52,51.7142857142857,48,16.5714285714286
"160","2020-08-12",925,849.714285714286,8,15.7142857142857,47,49.2857142857143,29,19.2857142857143
"161","2020-08-13",1059,883,15,15.7142857142857,47,46.5714285714286,8,14.2857142857143
"162","2020-08-14",1284,952.714285714286,18,15.8571428571429,65,49.7142857142857,74,22.7142857142857
"163","2020-08-15",934,989.142857142857,27,17,51,48.4285714285714,65,32
"164","2020-08-16",952,984,18,15.8571428571429,43,47.7142857142857,27,35.8571428571429
